track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7xHWNBFm6ObGEQPaUxHuKO,The Greatest (feat. Kendrick Lamar),5WUlDfRSoLAfcVSX1WnrxN,Sia,2eV6DIPDnGl1idcjww6xyX,210226,2016-10-21,69,0.668,0.725,1,-6.127,1,0.266,0.0102,0.000479,0.0561,0.729,191.944
6F609ICg9Spjrw1epsAnpa,Controlla,3TVXtAsR1Inumwj472S9r4,Drake,3hARKC8cinq3mZLLAEaBh9,245226,2016-05-06,0,0.607,0.476,10,-11.076,0,0.249,0.0773,0.0,0.113,0.347,122.976
0L7loeTIg6akW84aEQZpCT,Light It Up (feat. Nyla & Fuse ODG) - Remix,738wLrAtLtCtFOLvQBXOXp,Major Lazer,7jA06bCXArKGLr1V187s9b,166138,2015-06-01,0,0.746,0.877,9,-3.782,0,0.0666,0.0375,0.000833,0.233,0.751,107.985
5J1c3M4EldCfNxXwrwt8mT,Traicionera,07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,1TnP5HDR6fxVZBIGZq6DgO,228466,2016-06-24,0,0.776,0.669,11,-4.933,1,0.0638,0.142,0.0,0.219,0.661,91.012
6fwdbPMwP1zVStm8FybmkO,X (feat. Future),1URnnhqYAYcrqrcwql10ft,21 Savage,4I3EcXD4e3KcEoDJfFEZ5b,258880,2016-07-15,72,0.835,0.413,1,-9.81,1,0.396,0.373,0.00133,0.101,0.111,149.004
4BHzQ9C00ceJxfG16AlNWb,Send My Love (To Your New Lover),4dpARuHxo51G3z768sgnrY,Adele,0K4pIOOsfJ9lK8OjrZfXzd,223080,2016-06-24,1,0.69,0.524,6,-8.39,0,0.103,0.0415,3.16e-06,0.17,0.562,164.023
1lItf5ZXJc1by9SbPeljFd,Juju on That Beat (TZ Anthem),7nKeLE1toRtW4M279iS26h,Zay Hilfigerrr,5sQTfUX9uSwfCtPiYGO20V,144244,2016-09-30,60,0.807,0.887,1,-3.892,1,0.275,0.00381,0.0,0.391,0.78,160.517
6YZdkObH88npeKrrkb8Ggf,DUELE EL CORAZON (feat. Wisin),7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,5Ouuxga807CPAs81lSloBJ,199693,2016-04-18,68,0.716,0.908,8,-3.254,0,0.103,0.0858,0.0,0.135,0.869,91.03
1OAiWI2oPmglaOiv9fdioU,Hymn for the Weekend - Seeb Remix,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,5IDGBfcVjwMoGPKOsfyXLN,212647,2015-12-04,36,0.564,0.849,0,-3.516,0,0.0517,0.00868,4.68e-06,0.12,0.427,102.028
7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",3iri9nBFs9e4wN7PLIetAw,gnash,3L0H4RjVXpEkwfDgi3XOdf,251033,2016-03-25,78,0.492,0.275,6,-13.4,0,0.3,0.687,0.0,0.101,0.18,92.6
4dASQiO1Eoo3RJvt74FtXB,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",55Aa2cqylxrFIXC767Z865,Lil Wayne,704GHNtZhEe9TBgleCNNGv,243490,2016-06-24,78,0.502,0.786,9,-4.378,0,0.317,0.255,0.0,0.65,0.739,169.021
6HUnnBwYZqcED1eQztxMBN,Solo Dance,4ehtJnVumNf6xzSCDk8aLB,Martin Jensen,3BcNHuKlAm57APDcwh7LJq,174933,2016-11-04,0,0.744,0.836,6,-2.396,0,0.0507,0.0435,0.0,0.194,0.36,114.965
5uDASfU19gDxSjW8cnCaBp,Chill Bill (feat. J. Davi$ & Spooks),2hWs22BmQkK4czFtDLnar2,Rob $tone,5qBu7Ab6alstSCAzxTJMb1,177184,2016-06-17,77,0.886,0.427,6,-10.028,1,0.145,0.0312,0.00099,0.0906,0.23,108.034
0EPxmvsG1BY5td4aTOkWBF,Deu Onda,3Nipsl6GVwwGyeAk0J29C6,MC G15,4kL6UmXZ0QGt4crDk2n1op,144039,2016-12-15,0,0.931,0.604,0,-1.41,0,0.0573,0.456,0.0,0.0488,0.864,129.926
2CPqh63wRVscbceKcPxwvv,The Ocean (feat. Shy Martin),6lB8vOoI4DRrrVxXwuV19c,Mike Perry,4pgNeQfSctryAw4e0uESHe,183414,2016-04-15,71,0.632,0.575,5,-6.478,1,0.029,0.0225,1.81e-06,0.104,0.188,90.037
1Tt4sE4pXi57mTD1GCzsqm,Needed Me,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,3Q149ZH46Z0f3oDR7vlDYV,191600,2016-01-28,0,0.671,0.314,5,-8.091,0,0.244,0.11,0.0,0.0825,0.296,110.898
58zsLZPvfflaiIbNWoA22O,Human,4f9iBmdUOhQWeP7dcAn1pf,Rag'n'Bone Man,1rMmiDKa8V5H9yYTPAbLng,200186,2017-02-10,77,0.602,0.707,9,-4.097,1,0.302,0.393,0.0,0.165,0.554,75.087
0B8B8cVRFIG1yznoQe7c9s,Setting Fires,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,5BJeN4SVEKe204y2SiszOe,247426,2016-11-04,0,0.626,0.717,8,-5.751,0,0.0375,0.017,0.0,0.261,0.56,105.039
6bLopGnirdrilrpdVB6Um1,The Greatest,5WUlDfRSoLAfcVSX1WnrxN,Sia,2eV6DIPDnGl1idcjww6xyX,210920,2016-10-21,69,0.639,0.785,10,-6.167,0,0.174,0.0174,0.00107,0.0512,0.686,191.95
